Hour;Envelope & Thermal bridges;Window & Solar;Local heating units;Local cooling units;AHU heat recovery;AHU cold recovery;AHU Heating;AHU Cooling;Roomtemp;Outside air dry-bulb temperature
2019-01-01 01:00;-58.52;-76.97;0;0;412.3;0;154.4;0;21.14;-7.195
2019-01-01 02:00;-59.63;-76.21;0;0;409.8;0;151.8;0;21.08;-6.985
2019-01-01 03:00;-60.69;-75.56;0.417;0;406.6;0;151;0;21.02;-6.827
2019-01-01 04:00;-62.14;-75.98;9.503;0;409.3;0;153.3;0;21;-7.028
2019-01-01 05:00;-63.69;-76.46;21.11;0;412;0;155.3;0;21;-7.223
2019-01-01 06:00;-65.04;-76.22;30.48;0;410.5;0;154.3;0;21;-7.118
2019-01-01 07:00;-66.21;-77.6;39.52;0;418.1;0;159.3;0;21;-7.635
2019-01-01 08:00;-67.27;-77.69;46.39;0;421.1;0;161.4;0;21;-7.84
2019-01-01 09:00;-68.29;-72.38;47.81;0;404.5;0;150.1;0;21;-6.703
2019-01-01 10:00;-69.74;-51.07;39.02;0;387.2;0;138.4;0;21;-5.515
2019-01-01 11:00;-71.07;-25.16;25.79;0;369.1;0;126.1;0;21;-4.269
2019-01-01 12:00;-71.68;-4.323;11.97;0;348.6;0;112.4;0;21;-2.872
2019-01-01 13:00;-71.04;-5.244;8.745;0;326.4;0;99.2;0;21;-1.42
2019-01-01 14:00;-69.75;-19.75;13.84;0;308.9;0;89.35;0;21;-0.2986
2019-01-01 15:00;-68.14;-45.38;28.39;0;304.5;0;87.19;0;21;-0.02944
2019-01-01 16:00;-67.37;-55.49;37.6;0;307.5;0;87.17;0;21;-0.1537
2019-01-01 17:00;-66.94;-58.07;43.26;0;311.2;0;87.39;0;21;-0.3147
2019-01-01 18:00;-66.45;-57.93;45.86;0;310.1;0;86.54;0;21;-0.2355
2019-01-01 19:00;-65.92;-58.27;48.05;0;312.2;0;87.9;0;21;-0.3744
2019-01-01 20:00;-65.37;-59.07;50.21;0;316.7;0;90.93;0;21;-0.6824
2019-01-01 21:00;-64.86;-60.36;52.53;0;323.8;0;95.75;0;21;-1.171
2019-01-01 22:00;-64.41;-61.43;54.43;0;329.7;0;99.73;0;21;-1.576
2019-01-01 23:00;-64.02;-62.35;56.07;0;334.8;0;103.1;0;21;-1.923
2019-01-02 00:00;-63.7;-63.15;57.48;0;339.2;0;106.1;0;21;-2.228
2019-01-02 01:00;-63.45;-64.54;59.35;0;346.8;0;111.3;0;21;-2.751
2019-01-02 02:00;-63.26;-66.37;61.6;0;356.9;0;118.1;0;21;-3.443
2019-01-02 03:00;-63.17;-67.14;62.91;0;361.2;0;121;0;21;-3.733
2019-01-02 04:00;-63.18;-66.65;63.08;0;358.5;0;119.1;0;21;-3.55
2019-01-02 05:00;-63.25;-65.4;62.34;0;351.6;0;114.5;0;21;-3.075
2019-01-02 06:00;-63.32;-64.49;61.86;0;346.6;0;111.1;0;21;-2.734
2019-01-02 07:00;-63.4;-64.18;61.89;0;344.8;0;109.9;0;21;-2.613
2019-01-02 08:00;-63.48;-64.37;62.34;0;345.3;0;110.2;0;21;-2.645
2019-01-02 09:00;-63.67;-59.91;59.61;0;337.6;0;105;0;21;-2.116
2019-01-02 10:00;-64.09;-47.14;51.51;0;321.8;0;94.31;0;21;-1.03
2019-01-02 11:00;-65.2;-13.38;31.34;0;312.5;0;87.97;0;21;-0.3898
2019-01-02 12:00;-65.45;7.9;15.63;0;308.2;0;85.12;0;21;-0.1001
2019-01-02 13:00;-64.63;11.61;7.452;0;308.5;0;85.38;0;21;-0.1232
2019-01-02 14:00;-63.63;13.56;2.352;0;311.1;0;87.08;0;21;-0.2956
2019-01-02 15:00;-60.34;-33.56;14.96;0;311.7;0;87.78;0;20.99;-0.3506
2019-01-02 16:00;-59.49;-56.66;33.9;0;311.9;0;87.84;0;21;-0.3622
2019-01-02 17:00;-59.32;-59.96;41.66;0;319.8;0;93.13;0;21;-0.9024
2019-01-02 18:00;-59.15;-62.07;47.29;0;331.2;0;100.8;0;21;-1.684
2019-01-02 19:00;-59.05;-63.75;51.2;0;340.2;0;106.8;0;21;-2.297
2019-01-02 20:00;-59.03;-64.9;54.05;0;345.2;0;110.2;0;21;-2.64
2019-01-02 21:00;-59.1;-65.75;56.27;0;348.7;0;112.5;0;21;-2.878
2019-01-02 22:00;-59.26;-66.69;58.27;0;355.4;0;117.1;0;21;-3.339
2019-01-02 23:00;-59.54;-70.89;63.3;0;379;0;133;0;21;-4.957
2019-01-03 00:00;-59.91;-76.76;69.99;0;410.9;0;154.6;0;21;-7.148
2019-01-03 01:00;-60.53;-78.5;72.93;0;420.6;0;161;0;21;-7.808
2019-01-03 02:00;-61.29;-77.59;73.21;0;415.9;0;157.8;0;21;-7.485
2019-01-03 03:00;-62.07;-77.03;73.8;0;413.1;0;155.9;0;21;-7.291
2019-01-03 04:00;-62.95;-77.88;75.62;0;417.7;0;159.1;0;21;-7.611
2019-01-03 05:00;-63.9;-82.59;81.18;0;444;0;176.8;0;21;-9.413
2019-01-03 06:00;-64.95;-88.88;88.4;0;478.1;0;201.8;0;21;-11.83
2019-01-03 07:00;-66.17;-91.94;92.91;0;489.8;0;219.3;0;21;-13.03
2019-01-03 08:00;-67.52;-93.67;96.2;0;492.5;0;232.9;0;21;-13.69
2019-01-03 09:00;-69.27;-84.62;93;0;490.9;0;238.1;0;21;-13.84
2019-01-03 10:00;-72.35;-36.35;67;0;489.7;0;219;0;21.01;-13.01
2019-01-03 11:00;-74.77;7.077;38.07;0;479.2;0;202.3;0;21.01;-11.9
2019-01-03 12:00;-75.55;25.89;15.5;0;464.4;0;190.6;0;21;-10.81
2019-01-03 13:00;-74.36;-7.991;24.24;0;460;0;187.6;0;21;-10.51
2019-01-03 14:00;-74.16;-29.36;37.2;0;461.4;0;188.6;0;21;-10.61
2019-01-03 15:00;-73.46;-62.05;58.07;0;464.2;0;190.5;0;20.99;-10.8
2019-01-03 16:00;-73.5;-83.06;75.08;0;474.7;0;198.1;0;21;-11.54
2019-01-03 17:00;-74.33;-91.02;86.99;0;490.1;0;216.7;0;21;-12.93
2019-01-03 18:00;-75.31;-97.37;97.34;0;492;0;268.5;0;21;-15.13
2019-01-03 19:00;-76.4;-100.1;103.8;0;491.8;0;294.6;0;21;-16.19
2019-01-03 20:00;-77.58;-99.43;106.3;0;491.7;0;288;0;21;-15.92
2019-01-03 21:00;-78.77;-96.55;106.1;0;492.8;0;260;0;21;-14.82
2019-01-03 22:00;-79.94;-94.99;106.7;0;493.4;0;245.3;0;21;-14.24
2019-01-03 23:00;-81.06;-95.27;108.7;0;493.4;0;249;0;21;-14.39
2019-01-04 00:00;-82.15;-97.18;112.2;0;493.5;0;267.9;0;21;-15.17
2019-01-04 01:00;-83.26;-98.8;115.4;0;493.3;0;283.9;0;21;-15.82
2019-01-04 02:00;-84.37;-99.92;118.1;0;493;0;294.9;0;21;-16.25
2019-01-04 03:00;-85.48;-100.4;120.2;0;492.4;0;299.7;0;21;-16.43
2019-01-04 04:00;-86.54;-98.07;119.4;0;490.9;0;279.5;0;21;-15.54
2019-01-04 05:00;-87.48;-94.57;117.3;0;489.8;0;247.7;0;21;-14.19
2019-01-04 06:00;-88.31;-90.61;114.6;0;486.3;0;213.9;0;21;-12.66
2019-01-04 07:00;-88.93;-87.34;112.2;0;472;0;197.4;0;21;-11.4
2019-01-04 08:00;-89.36;-86.1;111.5;0;464.2;0;190.4;0;21;-10.8
2019-01-04 09:00;-89.74;-82.43;109.5;0;458.3;0;186.8;0;21;-10.41
2019-01-04 10:00;-90.44;-63.15;97.55;0;438.8;0;175.5;0;21;-9.149
2019-01-04 11:00;-91.44;-27.4;74.99;0;426;0;167.8;0;21.01;-8.305
2019-01-04 12:00;-91.96;5.795;51.75;0;416.9;0;161.5;0;21.01;-7.675
2019-01-04 13:00;-89.66;-12.74;52.39;0;400.9;0;148.6;0;21;-6.49
2019-01-04 14:00;-87.36;-34.79;58.44;0;371.7;0;129.2;0;21;-4.502
2019-01-04 15:00;-85.41;-52.89;66.01;0;341.1;0;109.7;0;21;-2.451
2019-01-04 16:00;-84.09;-60.51;71.81;0;338.6;0;106.5;0;21;-2.218
2019-01-04 17:00;-82.92;-63.57;75.29;0;341.3;0;107.5;0;21;-2.368
2019-01-04 18:00;-81.79;-64.28;77.1;0;344.9;0;110;0;21;-2.619
2019-01-04 19:00;-80.59;-64.93;78;0;346.9;0;111.3;0;21;-2.752
2019-01-04 20:00;-79.41;-65.3;78.27;0;348.1;0;112.1;0;21;-2.839
