Name,Ortnr/Stationsnr,Latitude,Longitude,Elevation,Time zone,Dry bulb min winter,Dry bulb max winter,Wet bulb max winter,Wind direction winter,Wind speed winter,Dry bulb min summer,Dry bulb max summer,Wet bulb max summer,Wind direction summer,Wind speed summer,Country,Source,Design data file,Type,
Ängelhom,026070,56.28,12.08,18,1,-11.6,-7.1,-7.8,130,2.1,13.8,26.9,18.7,130,4.6,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Arjeplog,021240,66.05,17.87,432,1,-30.9,-23.4,-23.6,90,0.2,12.2,22.6,15.2,180,2.4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Bjuröklubb,022960,64.48,21.58,43,1,-21.4,-18.6,-18.9,340,4.4,16.5,22.1,16.3,180,4.7,Sverige,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Falsterbo,026160,55.38,12.82,5,1,-7.4,-4.9,-6.1,30,4.3,17.1,24.4,19.2,100,4.4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Fårö,025880,57.9,19.17,8,1,-8.9,-5.6,-6.6,340,5,15.8,24,17.8,180,4.3,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Fränsta,023420,62.5,16.18,75,1,-29.8,-21.3,-21.5,20,0,10.4,26.8,17.1,180,2.8,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Gäddede,022220,64.5,14.17,330,1,-27.3,-21.1,-21.3,0,0.2,10,24,16,180,2.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Göteborg - Landvetter,025260,57.67,12.28,155,1,-13.2,-8.4,-8.9,30,3.3,14,26.1,17.3,210,4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Göteborg - Säve,025120,57.78,11.88,16,1,-14,-8.8,-9.2,60,1.2,13.4,26,18,270,4.3,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Gotska Sandön,025840,58.4,19.2,17,1,-8.5,-5.6,-6.54,90,4.7,18.1,23.9,18.4,180,4,Sverige,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Gunnarn,021280,65.02,17.68,283,1,-31.8,-23.2,-23.4,320,0.2,11.1,24.6,15.6,270,2.8,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Haparanda,021960,65.83,24.15,6,1,-27,-19.4,-19.7,0,0.9,13.5,23.5,16.2,180,3.1,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
